[I 2025-12-02 23:25:31,418] A new study created in memory with name: catboost_fold_1
[I 2025-12-02 23:36:11,813] Trial 11 finished with value: 0.15876381592851813 and parameters: {'iterations': 1000, 'learning_rate': 0.014360868882275994, 'depth': 2, 'l2_leaf_reg': 2.080230686013708, 'border_count': 238, 'bagging_temperature': 0.3563427588169851, 'random_strength': 0.3382421947245887, 'scale_pos_weight': 5.77689413802332}. Best is trial 0 with value: 0.16466161710223665.
[I 2025-12-02 23:36:34,057] Trial 12 finished with value: 0.16259565969715564 and parameters: {'iterations': 700, 'learning_rate': 0.01272368979675944, 'depth': 4, 'l2_leaf_reg': 1.2776621069941183, 'border_count': 231, 'bagging_temperature': 0.15624201408154195, 'random_strength': 0.4158032277090411, 'scale_pos_weight': 5.277464620526104}. Best is trial 0 with value: 0.16466161710223665.
[I 2025-12-02 23:36:58,784] Trial 13 finished with value: 0.15872429779584013 and parameters: {'iterations': 800, 'learning_rate': 0.01959380817201637, 'depth': 4, 'l2_leaf_reg': 7.577219925667924, 'border_count': 228, 'bagging_temperature': 0.05674424487380049, 'random_strength': 0.4426671222271774, 'scale_pos_weight': 5.198882100042887}. Best is trial 0 with value: 0.16466161710223665.
[I 2025-12-02 23:37:28,101] Trial 14 finished with value: 0.16591309810741506 and parameters: {'iterations': 1000, 'learning_rate': 0.009373587558430284, 'depth': 4, 'l2_leaf_reg': 8.192726638191752, 'border_count': 203, 'bagging_temperature': 0.1801784259704434, 'random_strength': 0.1823564342870302, 'scale_pos_weight': 5.267561204909104}. Best is trial 14 with value: 0.16591309810741506.
[I 2025-12-02 23:37:57,450] Trial 15 finished with value: 0.16351397500145856 and parameters: {'iterations': 1000, 'learning_rate': 0.005722040913905571, 'depth': 4, 'l2_leaf_reg': 8.15984938771094, 'border_count': 191, 'bagging_temperature': 0.24459520229784593, 'random_strength': 0.15921230960579885, 'scale_pos_weight': 5.958779372940664}. Best is trial 14 with value: 0.16591309810741506.
[I 2025-12-02 23:38:17,817] Trial 16 finished with value: 0.15921008598780534 and parameters: {'iterations': 1000, 'learning_rate': 0.009706968953889658, 'depth': 2, 'l2_leaf_reg': 8.402862548113404, 'border_count': 203, 'bagging_temperature': 0.6505145063282297, 'random_strength': 0.1692498847350053, 'scale_pos_weight': 5.746689685809277}. Best is trial 14 with value: 0.16591309810741506.
[I 2025-12-02 23:38:40,998] Trial 17 finished with value: 0.16301277751546078 and parameters: {'iterations': 800, 'learning_rate': 0.004517006934280196, 'depth': 4, 'l2_leaf_reg': 9.671775435845102, 'border_count': 176, 'bagging_temperature': 0.4512921653040144, 'random_strength': 0.18853495995591615, 'scale_pos_weight': 5.512649567104761}. Best is trial 14 with value: 0.16591309810741506.
[I 2025-12-02 23:39:05,843] Trial 18 finished with value: 0.16404487752581237 and parameters: {'iterations': 900, 'learning_rate': 0.008714347753733458, 'depth': 4, 'l2_leaf_reg': 7.393867677084158, 'border_count': 171, 'bagging_temperature': 0.28215305530433327, 'random_strength': 0.7546316101281643, 'scale_pos_weight': 5.28001491926896}. Best is trial 14 with value: 0.16591309810741506.
[I 2025-12-02 23:39:09,523] Trial 19 finished with value: 0.13932920798980827 and parameters: {'iterations': 100, 'learning_rate': 0.011526799083494965, 'depth': 2, 'l2_leaf_reg': 8.86751550255056, 'border_count': 255, 'bagging_temperature': 0.10758302229566205, 'random_strength': 0.5386172021817416, 'scale_pos_weight': 5.670937487804036}. Best is trial 14 with value: 0.16591309810741506.
[I 2025-12-02 23:39:30,698] Trial 20 finished with value: 0.1626487331673438 and parameters: {'iterations': 700, 'learning_rate': 0.0039301209077446855, 'depth': 4, 'l2_leaf_reg': 4.762056468080583, 'border_count': 209, 'bagging_temperature': 0.5009089372005225, 'random_strength': 0.1027820289594894, 'scale_pos_weight': 5.868155788270323}. Best is trial 14 with value: 0.16591309810741506.
[I 2025-12-02 23:39:56,350] Trial 21 finished with value: 0.1609005050455842 and parameters: {'iterations': 900, 'learning_rate': 0.008278505787595652, 'depth': 4, 'l2_leaf_reg': 7.3849997369410785, 'border_count': 172, 'bagging_temperature': 0.2856698764513192, 'random_strength': 0.7715403861686666, 'scale_pos_weight': 5.3009771728994295}. Best is trial 14 with value: 0.16591309810741506.
[I 2025-12-02 23:40:04,615] Trial 22 finished with value: 0.1586664972465145 and parameters: {'iterations': 900, 'learning_rate': 0.010446469672818245, 'depth': 4, 'l2_leaf_reg': 7.744766522470301, 'border_count': 173, 'bagging_temperature': 0.22062982679602147, 'random_strength': 0.7590958813720872, 'scale_pos_weight': 5.243396633933792}. Best is trial 14 with value: 0.16591309810741506.
[I 2025-12-02 23:40:14,590] Trial 23 finished with value: 0.16149091365743112 and parameters: {'iterations': 1000, 'learning_rate': 0.00840862519933263, 'depth': 4, 'l2_leaf_reg': 8.872742819743978, 'border_count': 198, 'bagging_temperature': 0.32175317406597304, 'random_strength': 0.900992355015686, 'scale_pos_weight': 5.4811019760385005}. Best is trial 14 with value: 0.16591309810741506.
[I 2025-12-02 23:40:23,393] Trial 24 finished with value: 0.1647036582605676 and parameters: {'iterations': 800, 'learning_rate': 0.012088919358595879, 'depth': 4, 'l2_leaf_reg': 7.01913110149943, 'border_count': 218, 'bagging_temperature': 0.17661881008964322, 'random_strength': 0.6580889660751649, 'scale_pos_weight': 5.132169500503618}. Best is trial 14 with value: 0.16591309810741506.
[I 2025-12-02 23:40:30,799] Trial 25 finished with value: 0.16287411562872076 and parameters: {'iterations': 800, 'learning_rate': 0.015872928186065415, 'depth': 3, 'l2_leaf_reg': 6.480623141470405, 'border_count': 217, 'bagging_temperature': 0.1674606155938407, 'random_strength': 0.6488067069740295, 'scale_pos_weight': 5.123610866632354}. Best is trial 14 with value: 0.16591309810741506.
[I 2025-12-02 23:40:36,932] Trial 26 finished with value: 0.16236351534595145 and parameters: {'iterations': 500, 'learning_rate': 0.011740235400692413, 'depth': 4, 'l2_leaf_reg': 8.277940814354071, 'border_count': 211, 'bagging_temperature': 0.08727597074269203, 'random_strength': 0.44038653203929834, 'scale_pos_weight': 5.171676481064029}. Best is trial 14 with value: 0.16591309810741506.
[I 2025-12-02 23:40:46,300] Trial 27 finished with value: 0.161724791594494 and parameters: {'iterations': 1000, 'learning_rate': 0.012671582575949972, 'depth': 3, 'l2_leaf_reg': 9.245232847945827, 'border_count': 230, 'bagging_temperature': 0.1943399112653605, 'random_strength': 0.2535234793559663, 'scale_pos_weight': 5.3435582719867165}. Best is trial 14 with value: 0.16591309810741506.
[I 2025-12-02 23:40:54,060] Trial 28 finished with value: 0.16534881506520255 and parameters: {'iterations': 700, 'learning_rate': 0.01063499741639445, 'depth': 4, 'l2_leaf_reg': 5.991190987785222, 'border_count': 197, 'bagging_temperature': 0.4301417209270123, 'random_strength': 0.5773783461553985, 'scale_pos_weight': 5.042577387113397}. Best is trial 14 with value: 0.16591309810741506.
[I 2025-12-02 23:41:02,216] Trial 29 finished with value: 0.1622105730957072 and parameters: {'iterations': 700, 'learning_rate': 0.010580474075057621, 'depth': 4, 'l2_leaf_reg': 5.7417740764044565, 'border_count': 196, 'bagging_temperature': 0.7730929115031018, 'random_strength': 0.6821764011786504, 'scale_pos_weight': 5.003027346123771}. Best is trial 14 with value: 0.16591309810741506.
[I 2025-12-02 23:41:06,453] A new study created in memory with name: catboost_fold_3
[I 2025-12-02 23:41:14,728] Trial 0 finished with value: 0.15923950584910734 and parameters: {'iterations': 300, 'learning_rate': 0.014944720114346614, 'depth': 4, 'l2_leaf_reg': 7.77760760164604, 'border_count': 185, 'bagging_temperature': 0.3534848571007665, 'random_strength': 0.2911500504498108, 'scale_pos_weight': 5.8614577810142166}. Best is trial 0 with value: 0.15923950584910734.
[I 2025-12-02 23:41:32,123] Trial 1 finished with value: 0.1404862204161275 and parameters: {'iterations': 700, 'learning_rate': 0.002099246882131477, 'depth': 3, 'l2_leaf_reg': 7.990342698488686, 'border_count': 221, 'bagging_temperature': 0.4222403099293114, 'random_strength': 0.5752876974899361, 'scale_pos_weight': 5.039291620269094}. Best is trial 0 with value: 0.15923950584910734.
[I 2025-12-02 23:41:58,445] Trial 2 finished with value: 0.15496259344280272 and parameters: {'iterations': 900, 'learning_rate': 0.005886480267700579, 'depth': 4, 'l2_leaf_reg': 3.4682430186484052, 'border_count': 166, 'bagging_temperature': 0.033859898217204365, 'random_strength': 0.5275894415219847, 'scale_pos_weight': 5.813867094047146}. Best is trial 0 with value: 0.15923950584910734.
[I 2025-12-02 23:42:26,911] Trial 3 finished with value: 0.1586905069980431 and parameters: {'iterations': 900, 'learning_rate': 0.01559944524330745, 'depth': 4, 'l2_leaf_reg': 1.8833295350423531, 'border_count': 245, 'bagging_temperature': 0.06075739293643234, 'random_strength': 0.4648647114079849, 'scale_pos_weight': 5.543095853992803}. Best is trial 0 with value: 0.15923950584910734.
[I 2025-12-02 23:42:30,658] Trial 4 finished with value: 0.13157137376681144 and parameters: {'iterations': 100, 'learning_rate': 0.0010663048441167625, 'depth': 3, 'l2_leaf_reg': 1.722879403316281, 'border_count': 217, 'bagging_temperature': 0.6640637787103755, 'random_strength': 0.1499402213101746, 'scale_pos_weight': 5.305523919152882}. Best is trial 0 with value: 0.15923950584910734.
[I 2025-12-02 23:42:47,410] Trial 5 finished with value: 0.1506380294449301 and parameters: {'iterations': 500, 'learning_rate': 0.01133152822962473, 'depth': 4, 'l2_leaf_reg': 2.2224664986920253, 'border_count': 253, 'bagging_temperature': 0.09745414224082938, 'random_strength': 0.8439909710875588, 'scale_pos_weight': 5.986714891652557}. Best is trial 0 with value: 0.15923950584910734.
[I 2025-12-02 23:43:04,013] Trial 6 finished with value: 0.15384263542182547 and parameters: {'iterations': 700, 'learning_rate': 0.010222016527889413, 'depth': 3, 'l2_leaf_reg': 8.103049109887824, 'border_count': 164, 'bagging_temperature': 0.5780143759500241, 'random_strength': 0.7633129615342943, 'scale_pos_weight': 5.206836520906868}. Best is trial 0 with value: 0.15923950584910734.
[I 2025-12-02 23:43:33,327] Trial 7 finished with value: 0.15426655392490005 and parameters: {'iterations': 1000, 'learning_rate': 0.013547731428675415, 'depth': 4, 'l2_leaf_reg': 1.5983719557655376, 'border_count': 208, 'bagging_temperature': 0.7681568262608309, 'random_strength': 0.14317696940688796, 'scale_pos_weight': 5.8920490717803045}. Best is trial 0 with value: 0.15923950584910734.
[I 2025-12-02 23:43:43,102] Trial 8 finished with value: 0.15831636996250206 and parameters: {'iterations': 300, 'learning_rate': 0.017539724487832618, 'depth': 4, 'l2_leaf_reg': 6.2484393347575065, 'border_count': 177, 'bagging_temperature': 0.5871457800156588, 'random_strength': 0.44398027293545894, 'scale_pos_weight': 5.055656906918735}. Best is trial 0 with value: 0.15923950584910734.
[I 2025-12-02 23:43:46,686] Trial 9 finished with value: 0.1354425063945916 and parameters: {'iterations': 100, 'learning_rate': 0.008373465165106887, 'depth': 2, 'l2_leaf_reg': 7.034683840366106, 'border_count': 196, 'bagging_temperature': 0.2447121280251423, 'random_strength': 0.6786533291389911, 'scale_pos_weight': 5.493619400698038}. Best is trial 0 with value: 0.15923950584910734.
[I 2025-12-02 23:43:55,129] Trial 10 finished with value: 0.15414670185369403 and parameters: {'iterations': 400, 'learning_rate': 0.018454716824149023, 'depth': 2, 'l2_leaf_reg': 9.988500044048092, 'border_count': 150, 'bagging_temperature': 0.9813646530224387, 'random_strength': 0.0061392023498596515, 'scale_pos_weight': 5.690625531923708}. Best is trial 0 with value: 0.15923950584910734.
[I 2025-12-02 23:44:18,296] Trial 11 finished with value: 0.1622546863545335 and parameters: {'iterations': 700, 'learning_rate': 0.01497119604797213, 'depth': 4, 'l2_leaf_reg': 4.472640091342608, 'border_count': 252, 'bagging_temperature': 0.287485894409105, 'random_strength': 0.349800200596397, 'scale_pos_weight': 5.638418406523518}. Best is trial 11 with value: 0.1622546863545335.
