[I 2025-12-05 00:29:52,335] A new study created in memory with name: svc_fold_1
[I 2025-12-05 00:48:27,304] Trial 24 finished with value: 0.09461914274419919 and parameters: {'kernel': 'sigmoid', 'C': 80.9299968725099}. Best is trial 14 with value: 0.09495844692586622.
[I 2025-12-05 00:48:44,227] Trial 25 finished with value: 0.09520740197166364 and parameters: {'kernel': 'sigmoid', 'C': 84.94026974279988}. Best is trial 25 with value: 0.09520740197166364.
[I 2025-12-05 00:48:52,655] Trial 26 finished with value: 0.044615483672427715 and parameters: {'kernel': 'linear', 'C': 93.06696877541683}. Best is trial 25 with value: 0.09520740197166364.
[I 2025-12-05 00:49:02,974] Trial 27 finished with value: 0.059948741934180025 and parameters: {'kernel': 'poly', 'C': 84.90941602849543}. Best is trial 25 with value: 0.09520740197166364.
[I 2025-12-05 00:49:18,610] Trial 28 finished with value: 0.06029053114632064 and parameters: {'kernel': 'rbf', 'C': 88.10216974606335}. Best is trial 25 with value: 0.09520740197166364.
[I 2025-12-05 00:49:33,669] Trial 29 finished with value: 0.06496962961762903 and parameters: {'kernel': 'rbf', 'C': 96.73382274549853}. Best is trial 25 with value: 0.09520740197166364.
[I 2025-12-05 00:49:38,895] A new study created in memory with name: svc_fold_4
[I 2025-12-05 00:49:54,441] Trial 0 finished with value: 0.09795615798705375 and parameters: {'kernel': 'sigmoid', 'C': 73.67093939392959}. Best is trial 0 with value: 0.09795615798705375.
[I 2025-12-05 00:50:09,085] Trial 1 finished with value: 0.0978233776005159 and parameters: {'kernel': 'sigmoid', 'C': 91.3761101210663}. Best is trial 0 with value: 0.09795615798705375.
[I 2025-12-05 00:50:16,896] Trial 2 finished with value: 0.05211828870188743 and parameters: {'kernel': 'linear', 'C': 73.49690512078482}. Best is trial 0 with value: 0.09795615798705375.
[I 2025-12-05 00:50:26,711] Trial 3 finished with value: 0.05318607284286918 and parameters: {'kernel': 'poly', 'C': 70.47861643074683}. Best is trial 0 with value: 0.09795615798705375.
[I 2025-12-05 00:50:41,180] Trial 4 finished with value: 0.09792085939765298 and parameters: {'kernel': 'sigmoid', 'C': 76.67667384958071}. Best is trial 0 with value: 0.09795615798705375.
[I 2025-12-05 00:50:56,434] Trial 5 finished with value: 0.061250240578523664 and parameters: {'kernel': 'rbf', 'C': 99.837751241875}. Best is trial 0 with value: 0.09795615798705375.
[I 2025-12-05 00:51:12,193] Trial 6 finished with value: 0.09811715431427218 and parameters: {'kernel': 'sigmoid', 'C': 78.26006295526608}. Best is trial 6 with value: 0.09811715431427218.
[I 2025-12-05 00:51:22,582] Trial 7 finished with value: 0.05758613324741256 and parameters: {'kernel': 'poly', 'C': 77.18502936273637}. Best is trial 6 with value: 0.09811715431427218.
[I 2025-12-05 00:51:32,298] Trial 8 finished with value: 0.05037900813471859 and parameters: {'kernel': 'poly', 'C': 98.84774866229445}. Best is trial 6 with value: 0.09811715431427218.
[I 2025-12-05 00:51:41,910] Trial 9 finished with value: 0.05710406127204173 and parameters: {'kernel': 'poly', 'C': 78.92479566887843}. Best is trial 6 with value: 0.09811715431427218.
[I 2025-12-05 00:51:56,795] Trial 10 finished with value: 0.049578604042045754 and parameters: {'kernel': 'rbf', 'C': 85.06006933798912}. Best is trial 6 with value: 0.09811715431427218.
[I 2025-12-05 00:52:10,856] Trial 11 finished with value: 0.09794660013918674 and parameters: {'kernel': 'sigmoid', 'C': 83.21070964493714}. Best is trial 6 with value: 0.09811715431427218.
