[I 2025-12-03 20:17:23,633] Trial 29 finished with value: 0.3709169520096883 and parameters: {'n_estimators': 175, 'max_depth': 12, 'min_samples_split': 18, 'min_samples_leaf': 16, 'max_features': 'sqrt', 'criterion': 'entropy', 'bootstrap': False}. Best is trial 28 with value: 0.375507617471868.
[I 2025-12-03 20:17:25,172] A new study created in memory with name: random_forest_fold_3
[I 2025-12-03 20:17:28,278] Trial 0 finished with value: 0.3663001135266187 and parameters: {'n_estimators': 150, 'max_depth': 22, 'min_samples_split': 5, 'min_samples_leaf': 7, 'max_features': 'sqrt', 'criterion': 'log_loss', 'bootstrap': False}. Best is trial 0 with value: 0.3663001135266187.
[I 2025-12-03 20:17:30,171] Trial 1 finished with value: 0.3702545028502264 and parameters: {'n_estimators': 150, 'max_depth': 12, 'min_samples_split': 4, 'min_samples_leaf': 20, 'max_features': 'sqrt', 'criterion': 'log_loss', 'bootstrap': True}. Best is trial 1 with value: 0.3702545028502264.
[I 2025-12-03 20:17:31,933] Trial 2 finished with value: 0.3737049240165776 and parameters: {'n_estimators': 175, 'max_depth': 8, 'min_samples_split': 2, 'min_samples_leaf': 14, 'max_features': 'log2', 'criterion': 'log_loss', 'bootstrap': True}. Best is trial 2 with value: 0.3737049240165776.
[I 2025-12-03 20:17:33,349] Trial 3 finished with value: 0.37422400971387687 and parameters: {'n_estimators': 100, 'max_depth': 17, 'min_samples_split': 7, 'min_samples_leaf': 20, 'max_features': 'log2', 'criterion': 'log_loss', 'bootstrap': True}. Best is trial 3 with value: 0.37422400971387687.
[I 2025-12-03 20:17:48,037] Trial 4 finished with value: 0.3645395844632441 and parameters: {'n_estimators': 275, 'max_depth': 15, 'min_samples_split': 19, 'min_samples_leaf': 9, 'max_features': None, 'criterion': 'gini', 'bootstrap': True}. Best is trial 3 with value: 0.37422400971387687.
[I 2025-12-03 20:17:50,327] Trial 5 finished with value: 0.3678282677957827 and parameters: {'n_estimators': 175, 'max_depth': 20, 'min_samples_split': 12, 'min_samples_leaf': 10, 'max_features': 'sqrt', 'criterion': 'log_loss', 'bootstrap': True}. Best is trial 3 with value: 0.37422400971387687.
[I 2025-12-03 20:18:18,616] Trial 6 finished with value: 0.3401037779550325 and parameters: {'n_estimators': 300, 'max_depth': 29, 'min_samples_split': 5, 'min_samples_leaf': 12, 'max_features': None, 'criterion': 'gini', 'bootstrap': False}. Best is trial 3 with value: 0.37422400971387687.
[I 2025-12-03 20:18:28,911] Trial 7 finished with value: 0.3678894366166599 and parameters: {'n_estimators': 175, 'max_depth': 9, 'min_samples_split': 5, 'min_samples_leaf': 16, 'max_features': None, 'criterion': 'log_loss', 'bootstrap': True}. Best is trial 3 with value: 0.37422400971387687.
[I 2025-12-03 20:18:43,455] Trial 8 finished with value: 0.36876632897548445 and parameters: {'n_estimators': 275, 'max_depth': 24, 'min_samples_split': 6, 'min_samples_leaf': 15, 'max_features': None, 'criterion': 'gini', 'bootstrap': True}. Best is trial 3 with value: 0.37422400971387687.
[I 2025-12-03 20:18:45,017] Trial 9 finished with value: 0.36173214067353776 and parameters: {'n_estimators': 125, 'max_depth': 30, 'min_samples_split': 16, 'min_samples_leaf': 1, 'max_features': 'log2', 'criterion': 'log_loss', 'bootstrap': True}. Best is trial 3 with value: 0.37422400971387687.
[I 2025-12-03 20:18:46,063] Trial 10 finished with value: 0.3739085022866323 and parameters: {'n_estimators': 100, 'max_depth': 5, 'min_samples_split': 10, 'min_samples_leaf': 20, 'max_features': 'log2', 'criterion': 'entropy', 'bootstrap': False}. Best is trial 3 with value: 0.37422400971387687.
[I 2025-12-03 20:18:47,235] Trial 11 finished with value: 0.3737022965683504 and parameters: {'n_estimators': 100, 'max_depth': 6, 'min_samples_split': 10, 'min_samples_leaf': 20, 'max_features': 'log2', 'criterion': 'entropy', 'bootstrap': False}. Best is trial 3 with value: 0.37422400971387687.
[I 2025-12-03 20:18:48,904] Trial 12 finished with value: 0.37283358046750614 and parameters: {'n_estimators': 100, 'max_depth': 16, 'min_samples_split': 10, 'min_samples_leaf': 17, 'max_features': 'log2', 'criterion': 'entropy', 'bootstrap': False}. Best is trial 3 with value: 0.37422400971387687.
[I 2025-12-03 20:18:51,888] Trial 13 finished with value: 0.3721213189695013 and parameters: {'n_estimators': 225, 'max_depth': 12, 'min_samples_split': 13, 'min_samples_leaf': 18, 'max_features': 'log2', 'criterion': 'entropy', 'bootstrap': False}. Best is trial 3 with value: 0.37422400971387687.
[I 2025-12-03 20:18:52,960] Trial 14 finished with value: 0.37271454394967984 and parameters: {'n_estimators': 100, 'max_depth': 5, 'min_samples_split': 8, 'min_samples_leaf': 5, 'max_features': 'log2', 'criterion': 'entropy', 'bootstrap': False}. Best is trial 3 with value: 0.37422400971387687.
[I 2025-12-03 20:18:56,249] Trial 15 finished with value: 0.3732553262727203 and parameters: {'n_estimators': 225, 'max_depth': 26, 'min_samples_split': 14, 'min_samples_leaf': 20, 'max_features': 'log2', 'criterion': 'entropy', 'bootstrap': False}. Best is trial 3 with value: 0.37422400971387687.
[I 2025-12-03 20:18:57,814] Trial 16 finished with value: 0.3713432700899712 and parameters: {'n_estimators': 125, 'max_depth': 18, 'min_samples_split': 8, 'min_samples_leaf': 13, 'max_features': 'log2', 'criterion': 'entropy', 'bootstrap': True}. Best is trial 3 with value: 0.37422400971387687.
[I 2025-12-03 20:18:59,668] Trial 17 finished with value: 0.3717260503686117 and parameters: {'n_estimators': 125, 'max_depth': 12, 'min_samples_split': 15, 'min_samples_leaf': 18, 'max_features': 'log2', 'criterion': 'log_loss', 'bootstrap': False}. Best is trial 3 with value: 0.37422400971387687.
[I 2025-12-03 20:19:02,331] Trial 18 finished with value: 0.3725453343077073 and parameters: {'n_estimators': 225, 'max_depth': 9, 'min_samples_split': 10, 'min_samples_leaf': 18, 'max_features': 'log2', 'criterion': 'entropy', 'bootstrap': False}. Best is trial 3 with value: 0.37422400971387687.
[I 2025-12-03 20:19:04,103] Trial 19 finished with value: 0.35816084657017094 and parameters: {'n_estimators': 150, 'max_depth': 19, 'min_samples_split': 8, 'min_samples_leaf': 3, 'max_features': 'sqrt', 'criterion': 'gini', 'bootstrap': True}. Best is trial 3 with value: 0.37422400971387687.
[I 2025-12-03 20:19:07,029] Trial 20 finished with value: 0.37095249977911193 and parameters: {'n_estimators': 200, 'max_depth': 14, 'min_samples_split': 17, 'min_samples_leaf': 12, 'max_features': 'log2', 'criterion': 'log_loss', 'bootstrap': False}. Best is trial 3 with value: 0.37422400971387687.
[I 2025-12-03 20:19:08,116] Trial 21 finished with value: 0.37057572128845506 and parameters: {'n_estimators': 100, 'max_depth': 8, 'min_samples_split': 2, 'min_samples_leaf': 14, 'max_features': 'log2', 'criterion': 'log_loss', 'bootstrap': True}. Best is trial 3 with value: 0.37422400971387687.
