[I 2025-12-02 19:12:30,348] A new study created in memory with name: catboost_fold_1
[I 2025-12-02 19:43:51,030] Trial 10 finished with value: 0.3892197997633993 and parameters: {'iterations': 585, 'learning_rate': 0.11339398622013348, 'depth': 4, 'l2_leaf_reg': 9.9330554838346, 'border_count': 252, 'bagging_temperature': 0.01486108557898913, 'random_strength': 0.034266052182324924}. Best is trial 6 with value: 0.3932743203259758.
[I 2025-12-02 19:43:58,190] Trial 11 finished with value: 0.39351704313583713 and parameters: {'iterations': 769, 'learning_rate': 0.01905965322556888, 'depth': 5, 'l2_leaf_reg': 6.719494106331878, 'border_count': 171, 'bagging_temperature': 0.7348451523589403, 'random_strength': 0.28542359820820573}. Best is trial 11 with value: 0.39351704313583713.
[I 2025-12-02 19:44:05,892] Trial 12 finished with value: 0.3889038846572963 and parameters: {'iterations': 704, 'learning_rate': 0.11980282526466551, 'depth': 5, 'l2_leaf_reg': 7.8803487419194385, 'border_count': 203, 'bagging_temperature': 0.9428723628990208, 'random_strength': 0.4255869967799435}. Best is trial 11 with value: 0.39351704313583713.
[I 2025-12-02 19:44:10,800] Trial 13 finished with value: 0.3797235173737642 and parameters: {'iterations': 465, 'learning_rate': 0.24973337186938632, 'depth': 5, 'l2_leaf_reg': 7.967876666346017, 'border_count': 184, 'bagging_temperature': 0.6983948974169064, 'random_strength': 0.1508763897051758}. Best is trial 11 with value: 0.39351704313583713.
[I 2025-12-02 19:44:19,992] Trial 14 finished with value: 0.39244788988178814 and parameters: {'iterations': 755, 'learning_rate': 0.05486647962562318, 'depth': 5, 'l2_leaf_reg': 6.919020187267949, 'border_count': 230, 'bagging_temperature': 0.9866840476094098, 'random_strength': 0.36151096480212513}. Best is trial 11 with value: 0.39351704313583713.
[I 2025-12-02 19:44:33,034] Trial 15 finished with value: 0.38408523314118737 and parameters: {'iterations': 610, 'learning_rate': 0.12340395274062531, 'depth': 6, 'l2_leaf_reg': 8.756938081550244, 'border_count': 165, 'bagging_temperature': 0.3669372966768616, 'random_strength': 0.6576318888089712}. Best is trial 11 with value: 0.39351704313583713.
[I 2025-12-02 19:44:35,782] Trial 16 finished with value: 0.39067383503381387 and parameters: {'iterations': 423, 'learning_rate': 0.050576979867875654, 'depth': 4, 'l2_leaf_reg': 5.613854310029976, 'border_count': 118, 'bagging_temperature': 0.1827246953203011, 'random_strength': 0.1428353795580365}. Best is trial 11 with value: 0.39351704313583713.
[I 2025-12-02 19:45:05,417] Trial 17 finished with value: 0.3792015449594607 and parameters: {'iterations': 997, 'learning_rate': 0.09751989379550123, 'depth': 6, 'l2_leaf_reg': 1.2596056924608225, 'border_count': 217, 'bagging_temperature': 0.7275484090143245, 'random_strength': 0.5739843570873191}. Best is trial 11 with value: 0.39351704313583713.
[I 2025-12-02 19:45:23,032] Trial 18 finished with value: 0.38416125482862606 and parameters: {'iterations': 810, 'learning_rate': 0.22833011272701365, 'depth': 6, 'l2_leaf_reg': 8.700903730128099, 'border_count': 168, 'bagging_temperature': 0.84136347506655, 'random_strength': 0.4139338609669713}. Best is trial 11 with value: 0.39351704313583713.
[I 2025-12-02 19:45:26,993] Trial 19 finished with value: 0.39143418925930545 and parameters: {'iterations': 521, 'learning_rate': 0.14517089749327497, 'depth': 5, 'l2_leaf_reg': 7.036711950075, 'border_count': 104, 'bagging_temperature': 0.6912372986093445, 'random_strength': 0.18552474236370076}. Best is trial 11 with value: 0.39351704313583713.
