[I 2025-12-03 21:57:42,096] Trial 0 finished with value: 0.06155422099261593 and parameters: {'n_neighbors': 1, 'weights': 'uniform', 'algorithm': 'kd_tree', 'p': 2, 'leaf_size': 40}. Best is trial 0 with value: 0.06155422099261593.
[I 2025-12-03 21:57:42,300] Trial 1 finished with value: 0.09711067782987606 and parameters: {'n_neighbors': 11, 'weights': 'uniform', 'algorithm': 'brute', 'p': 2, 'leaf_size': 31}. Best is trial 1 with value: 0.09711067782987606.
[I 2025-12-03 21:57:42,490] Trial 2 finished with value: 0.10568092091506572 and parameters: {'n_neighbors': 18, 'weights': 'uniform', 'algorithm': 'brute', 'p': 2, 'leaf_size': 40}. Best is trial 2 with value: 0.10568092091506572.
[I 2025-12-03 21:57:42,690] Trial 3 finished with value: 0.09480235841214266 and parameters: {'n_neighbors': 10, 'weights': 'uniform', 'algorithm': 'brute', 'p': 2, 'leaf_size': 26}. Best is trial 2 with value: 0.10568092091506572.
[I 2025-12-03 21:57:45,925] Trial 4 finished with value: 0.09627044574007147 and parameters: {'n_neighbors': 17, 'weights': 'distance', 'algorithm': 'ball_tree', 'p': 1, 'leaf_size': 36}. Best is trial 2 with value: 0.10568092091506572.
[I 2025-12-03 21:57:46,126] Trial 5 finished with value: 0.10568092091506572 and parameters: {'n_neighbors': 18, 'weights': 'uniform', 'algorithm': 'auto', 'p': 2, 'leaf_size': 38}. Best is trial 2 with value: 0.10568092091506572.
[I 2025-12-03 21:57:49,586] Trial 6 finished with value: 0.09220067330490261 and parameters: {'n_neighbors': 12, 'weights': 'distance', 'algorithm': 'ball_tree', 'p': 1, 'leaf_size': 29}. Best is trial 2 with value: 0.10568092091506572.
[I 2025-12-03 21:57:53,084] Trial 7 finished with value: 0.11008076210093601 and parameters: {'n_neighbors': 11, 'weights': 'distance', 'algorithm': 'kd_tree', 'p': 2, 'leaf_size': 36}. Best is trial 7 with value: 0.11008076210093601.
[I 2025-12-03 21:57:57,451] Trial 8 finished with value: 0.06955932593568095 and parameters: {'n_neighbors': 5, 'weights': 'uniform', 'algorithm': 'kd_tree', 'p': 1, 'leaf_size': 26}. Best is trial 7 with value: 0.11008076210093601.
[I 2025-12-03 21:58:00,967] Trial 9 finished with value: 0.10237059420735158 and parameters: {'n_neighbors': 14, 'weights': 'uniform', 'algorithm': 'kd_tree', 'p': 2, 'leaf_size': 40}. Best is trial 7 with value: 0.11008076210093601.
[I 2025-12-03 21:58:01,374] Trial 10 finished with value: 0.08341273135166002 and parameters: {'n_neighbors': 7, 'weights': 'distance', 'algorithm': 'auto', 'p': 1, 'leaf_size': 21}. Best is trial 7 with value: 0.11008076210093601.
[I 2025-12-03 21:58:01,586] Trial 11 finished with value: 0.1232379457875499 and parameters: {'n_neighbors': 20, 'weights': 'distance', 'algorithm': 'brute', 'p': 2, 'leaf_size': 34}. Best is trial 11 with value: 0.1232379457875499.
[I 2025-12-03 21:58:05,938] Trial 12 finished with value: 0.12310615855905052 and parameters: {'n_neighbors': 20, 'weights': 'distance', 'algorithm': 'kd_tree', 'p': 2, 'leaf_size': 34}. Best is trial 11 with value: 0.1232379457875499.
[I 2025-12-03 21:58:06,164] Trial 13 finished with value: 0.12179542047065046 and parameters: {'n_neighbors': 19, 'weights': 'distance', 'algorithm': 'brute', 'p': 2, 'leaf_size': 33}. Best is trial 11 with value: 0.1232379457875499.
[I 2025-12-03 21:58:10,543] Trial 14 finished with value: 0.12310615855905052 and parameters: {'n_neighbors': 20, 'weights': 'distance', 'algorithm': 'kd_tree', 'p': 2, 'leaf_size': 33}. Best is trial 11 with value: 0.1232379457875499.
[I 2025-12-03 21:58:10,766] Trial 15 finished with value: 0.11817521302318135 and parameters: {'n_neighbors': 15, 'weights': 'distance', 'algorithm': 'brute', 'p': 2, 'leaf_size': 34}. Best is trial 11 with value: 0.1232379457875499.
[I 2025-12-03 21:58:10,983] Trial 16 finished with value: 0.11817521302318135 and parameters: {'n_neighbors': 15, 'weights': 'distance', 'algorithm': 'auto', 'p': 2, 'leaf_size': 29}. Best is trial 11 with value: 0.1232379457875499.
[I 2025-12-03 21:58:14,065] Trial 17 finished with value: 0.0981488637361406 and parameters: {'n_neighbors': 20, 'weights': 'distance', 'algorithm': 'ball_tree', 'p': 1, 'leaf_size': 36}. Best is trial 11 with value: 0.1232379457875499.
[I 2025-12-03 21:58:14,284] Trial 18 finished with value: 0.11817521302318135 and parameters: {'n_neighbors': 15, 'weights': 'distance', 'algorithm': 'brute', 'p': 2, 'leaf_size': 31}. Best is trial 11 with value: 0.1232379457875499.
[I 2025-12-03 21:58:18,623] Trial 19 finished with value: 0.11713641608379013 and parameters: {'n_neighbors': 17, 'weights': 'distance', 'algorithm': 'kd_tree', 'p': 2, 'leaf_size': 26}. Best is trial 11 with value: 0.1232379457875499.
[I 2025-12-03 21:58:19,048] Trial 20 finished with value: 0.08677982707759573 and parameters: {'n_neighbors': 8, 'weights': 'distance', 'algorithm': 'brute', 'p': 1, 'leaf_size': 21}. Best is trial 11 with value: 0.1232379457875499.
[I 2025-12-03 21:58:23,397] Trial 21 finished with value: 0.12310615855905052 and parameters: {'n_neighbors': 20, 'weights': 'distance', 'algorithm': 'kd_tree', 'p': 2, 'leaf_size': 33}. Best is trial 11 with value: 0.1232379457875499.
[I 2025-12-03 21:58:27,827] Trial 22 finished with value: 0.12310615855905052 and parameters: {'n_neighbors': 20, 'weights': 'distance', 'algorithm': 'kd_tree', 'p': 2, 'leaf_size': 34}. Best is trial 11 with value: 0.1232379457875499.
[I 2025-12-03 21:58:32,229] Trial 23 finished with value: 0.11713641608379013 and parameters: {'n_neighbors': 17, 'weights': 'distance', 'algorithm': 'kd_tree', 'p': 2, 'leaf_size': 32}. Best is trial 11 with value: 0.1232379457875499.
[I 2025-12-03 21:58:35,652] Trial 24 finished with value: 0.1144337599026966 and parameters: {'n_neighbors': 13, 'weights': 'distance', 'algorithm': 'kd_tree', 'p': 2, 'leaf_size': 37}. Best is trial 11 with value: 0.1232379457875499.
[I 2025-12-03 21:58:40,001] Trial 25 finished with value: 0.12004594470323773 and parameters: {'n_neighbors': 18, 'weights': 'distance', 'algorithm': 'kd_tree', 'p': 2, 'leaf_size': 29}. Best is trial 11 with value: 0.1232379457875499.
[I 2025-12-03 21:58:40,229] Trial 26 finished with value: 0.11753530613598857 and parameters: {'n_neighbors': 16, 'weights': 'distance', 'algorithm': 'auto', 'p': 2, 'leaf_size': 35}. Best is trial 11 with value: 0.1232379457875499.
[I 2025-12-03 21:58:43,217] Trial 27 finished with value: 0.12419221244942402 and parameters: {'n_neighbors': 20, 'weights': 'distance', 'algorithm': 'ball_tree', 'p': 2, 'leaf_size': 38}. Best is trial 27 with value: 0.12419221244942402.
[I 2025-12-03 21:58:46,196] Trial 28 finished with value: 0.1223900920230923 and parameters: {'n_neighbors': 19, 'weights': 'distance', 'algorithm': 'ball_tree', 'p': 2, 'leaf_size': 38}. Best is trial 27 with value: 0.12419221244942402.
[I 2025-12-03 21:58:49,064] Trial 29 finished with value: 0.06155422099261593 and parameters: {'n_neighbors': 1, 'weights': 'distance', 'algorithm': 'ball_tree', 'p': 2, 'leaf_size': 38}. Best is trial 27 with value: 0.12419221244942402.
[I 2025-12-03 21:59:01,285] A new study created in memory with name: k_nearest_neighbors_fold_4
[I 2025-12-03 21:59:01,406] Trial 0 finished with value: 0.09748978795207724 and parameters: {'n_neighbors': 7, 'weights': 'uniform', 'algorithm': 'auto', 'p': 2, 'leaf_size': 28}. Best is trial 0 with value: 0.09748978795207724.
[I 2025-12-03 21:59:01,612] Trial 1 finished with value: 0.10821369641774328 and parameters: {'n_neighbors': 18, 'weights': 'uniform', 'algorithm': 'brute', 'p': 2, 'leaf_size': 24}. Best is trial 1 with value: 0.10821369641774328.
[I 2025-12-03 21:59:02,016] Trial 2 finished with value: 0.06909221811106418 and parameters: {'n_neighbors': 2, 'weights': 'distance', 'algorithm': 'auto', 'p': 1, 'leaf_size': 26}. Best is trial 1 with value: 0.10821369641774328.
[I 2025-12-03 21:59:06,474] Trial 3 finished with value: 0.09419718499626085 and parameters: {'n_neighbors': 18, 'weights': 'uniform', 'algorithm': 'kd_tree', 'p': 1, 'leaf_size': 30}. Best is trial 1 with value: 0.10821369641774328.
