[I 2025-12-04 07:11:51,830] Trial 1 finished with value: 0.3471682071436849 and parameters: {'max_depth': 4, 'min_samples_split': 6, 'min_samples_leaf': 17, 'criterion': 'gini', 'max_features': None, 'splitter': 'random'}. Best is trial 0 with value: 0.35133883062022925.
[I 2025-12-04 07:11:51,981] Trial 2 finished with value: 0.3439018113787847 and parameters: {'max_depth': 13, 'min_samples_split': 17, 'min_samples_leaf': 20, 'criterion': 'gini', 'max_features': 'sqrt', 'splitter': 'random'}. Best is trial 0 with value: 0.35133883062022925.
[I 2025-12-04 07:11:53,037] Trial 3 finished with value: 0.35017432579929914 and parameters: {'max_depth': 6, 'min_samples_split': 11, 'min_samples_leaf': 19, 'criterion': 'gini', 'max_features': None, 'splitter': 'best'}. Best is trial 0 with value: 0.35133883062022925.
[I 2025-12-04 07:11:53,414] Trial 4 finished with value: 0.347254726470397 and parameters: {'max_depth': 18, 'min_samples_split': 13, 'min_samples_leaf': 19, 'criterion': 'gini', 'max_features': 'sqrt', 'splitter': 'best'}. Best is trial 0 with value: 0.35133883062022925.
[I 2025-12-04 07:11:53,715] Trial 5 finished with value: 0.34058509836197765 and parameters: {'max_depth': 20, 'min_samples_split': 19, 'min_samples_leaf': 18, 'criterion': 'gini', 'max_features': 'log2', 'splitter': 'random'}. Best is trial 0 with value: 0.35133883062022925.
[I 2025-12-04 07:11:53,961] Trial 6 finished with value: 0.3462720336522214 and parameters: {'max_depth': 14, 'min_samples_split': 15, 'min_samples_leaf': 19, 'criterion': 'log_loss', 'max_features': 'log2', 'splitter': 'random'}. Best is trial 0 with value: 0.35133883062022925.
[I 2025-12-04 07:11:54,226] Trial 7 finished with value: 0.3482590668996528 and parameters: {'max_depth': 9, 'min_samples_split': 20, 'min_samples_leaf': 16, 'criterion': 'gini', 'max_features': 'log2', 'splitter': 'best'}. Best is trial 0 with value: 0.35133883062022925.
[I 2025-12-04 07:11:54,546] Trial 8 finished with value: 0.34789448670386003 and parameters: {'max_depth': 12, 'min_samples_split': 11, 'min_samples_leaf': 19, 'criterion': 'gini', 'max_features': 'sqrt', 'splitter': 'best'}. Best is trial 0 with value: 0.35133883062022925.
[I 2025-12-04 07:11:54,683] Trial 9 finished with value: 0.34310154208020865 and parameters: {'max_depth': 5, 'min_samples_split': 11, 'min_samples_leaf': 16, 'criterion': 'log_loss', 'max_features': 'log2', 'splitter': 'random'}. Best is trial 0 with value: 0.35133883062022925.
[I 2025-12-04 07:11:54,864] Trial 10 finished with value: 0.34459594215766326 and parameters: {'max_depth': 31, 'min_samples_split': 6, 'min_samples_leaf': 15, 'criterion': 'entropy', 'max_features': 'sqrt', 'splitter': 'random'}. Best is trial 0 with value: 0.35133883062022925.
[I 2025-12-04 07:11:57,257] Trial 11 finished with value: 0.3414775795994606 and parameters: {'max_depth': 32, 'min_samples_split': 9, 'min_samples_leaf': 18, 'criterion': 'entropy', 'max_features': None, 'splitter': 'best'}. Best is trial 0 with value: 0.35133883062022925.
[I 2025-12-04 07:11:59,363] Trial 12 finished with value: 0.341785028371466 and parameters: {'max_depth': 24, 'min_samples_split': 15, 'min_samples_leaf': 20, 'criterion': 'gini', 'max_features': None, 'splitter': 'best'}. Best is trial 0 with value: 0.35133883062022925.
[I 2025-12-04 07:12:01,120] Trial 13 finished with value: 0.34438557578305046 and parameters: {'max_depth': 23, 'min_samples_split': 9, 'min_samples_leaf': 17, 'criterion': 'gini', 'max_features': None, 'splitter': 'best'}. Best is trial 0 with value: 0.35133883062022925.
[I 2025-12-04 07:12:01,274] Trial 14 finished with value: 0.3426630350442282 and parameters: {'max_depth': 27, 'min_samples_split': 17, 'min_samples_leaf': 18, 'criterion': 'log_loss', 'max_features': 'sqrt', 'splitter': 'random'}. Best is trial 0 with value: 0.35133883062022925.
[I 2025-12-04 07:12:01,855] Trial 15 finished with value: 0.34862827489908843 and parameters: {'max_depth': 2, 'min_samples_split': 13, 'min_samples_leaf': 19, 'criterion': 'entropy', 'max_features': None, 'splitter': 'best'}. Best is trial 0 with value: 0.35133883062022925.
[I 2025-12-04 07:12:03,513] Trial 16 finished with value: 0.3452985703351659 and parameters: {'max_depth': 8, 'min_samples_split': 9, 'min_samples_leaf': 20, 'criterion': 'gini', 'max_features': None, 'splitter': 'best'}. Best is trial 0 with value: 0.35133883062022925.
[I 2025-12-04 07:12:03,722] Trial 17 finished with value: 0.34507439513667826 and parameters: {'max_depth': 28, 'min_samples_split': 15, 'min_samples_leaf': 17, 'criterion': 'gini', 'max_features': 'sqrt', 'splitter': 'random'}. Best is trial 0 with value: 0.35133883062022925.
