[I 2025-12-02 17:42:16,315] A new study created in memory with name: catboost_fold_1
[I 2025-12-02 17:46:29,678] Trial 2 finished with value: 0.3754140519618579 and parameters: {'iterations': 900, 'learning_rate': 0.001668142447856684, 'depth': 2, 'l2_leaf_reg': 8.724679748854872, 'border_count': 230, 'bagging_temperature': 0.0786202322923285, 'random_strength': 0.9026885582133698}. Best is trial 0 with value: 0.3862476430748325.
[I 2025-12-02 17:46:33,206] Trial 3 finished with value: 0.38212430345597215 and parameters: {'iterations': 800, 'learning_rate': 0.01078999634889979, 'depth': 2, 'l2_leaf_reg': 9.11663762195937, 'border_count': 203, 'bagging_temperature': 0.6215805543846199, 'random_strength': 0.8850781651360318}. Best is trial 0 with value: 0.3862476430748325.
[I 2025-12-02 17:46:35,177] Trial 4 finished with value: 0.38220074820023986 and parameters: {'iterations': 400, 'learning_rate': 0.008703653516263767, 'depth': 2, 'l2_leaf_reg': 8.01208373722855, 'border_count': 216, 'bagging_temperature': 0.7438356089280769, 'random_strength': 0.015128865711048545}. Best is trial 0 with value: 0.3862476430748325.
[I 2025-12-02 17:46:37,848] Trial 5 finished with value: 0.38416996197708236 and parameters: {'iterations': 400, 'learning_rate': 0.017642122834026462, 'depth': 4, 'l2_leaf_reg': 3.146384221125477, 'border_count': 156, 'bagging_temperature': 0.21303490039443584, 'random_strength': 0.464255055584741}. Best is trial 0 with value: 0.3862476430748325.
[I 2025-12-02 17:46:40,672] Trial 6 finished with value: 0.3864323389451788 and parameters: {'iterations': 500, 'learning_rate': 0.01929506776631283, 'depth': 3, 'l2_leaf_reg': 1.7195486338768822, 'border_count': 227, 'bagging_temperature': 0.594995389406428, 'random_strength': 0.5387870823422798}. Best is trial 6 with value: 0.3864323389451788.
[I 2025-12-02 17:46:41,964] Trial 7 finished with value: 0.37909593050732604 and parameters: {'iterations': 200, 'learning_rate': 0.011396909602061047, 'depth': 2, 'l2_leaf_reg': 2.2115793382580233, 'border_count': 199, 'bagging_temperature': 0.31653878683570436, 'random_strength': 0.7104840782827802}. Best is trial 6 with value: 0.3864323389451788.
[I 2025-12-02 17:46:44,386] Trial 8 finished with value: 0.37430031390400653 and parameters: {'iterations': 400, 'learning_rate': 0.0019029690379685185, 'depth': 3, 'l2_leaf_reg': 6.657015260541867, 'border_count': 243, 'bagging_temperature': 0.9274168184357087, 'random_strength': 0.9127153667657036}. Best is trial 6 with value: 0.3864323389451788.
[I 2025-12-02 17:46:49,555] Trial 9 finished with value: 0.3864279310709624 and parameters: {'iterations': 1000, 'learning_rate': 0.016310641072809565, 'depth': 3, 'l2_leaf_reg': 6.23205091530146, 'border_count': 245, 'bagging_temperature': 0.6873179248947174, 'random_strength': 0.6649329679084643}. Best is trial 6 with value: 0.3864323389451788.
[I 2025-12-02 17:46:53,865] Trial 10 finished with value: 0.39049044526571847 and parameters: {'iterations': 600, 'learning_rate': 0.019210013839066176, 'depth': 4, 'l2_leaf_reg': 1.2734104576146943, 'border_count': 255, 'bagging_temperature': 0.42448126727350727, 'random_strength': 0.2289522478310394}. Best is trial 10 with value: 0.39049044526571847.
[I 2025-12-02 17:46:58,358] Trial 11 finished with value: 0.39052300418504216 and parameters: {'iterations': 600, 'learning_rate': 0.018957514282955695, 'depth': 4, 'l2_leaf_reg': 1.5070101540326015, 'border_count': 255, 'bagging_temperature': 0.4207483892341344, 'random_strength': 0.20118958640530288}. Best is trial 11 with value: 0.39052300418504216.
