[I 2025-11-27 04:47:04,902] A new study created in memory with name: decision_tree_fold_1
[I 2025-11-27 04:48:47,498] Trial 12 finished with value: 0.34722781741440284 and parameters: {'max_depth': 2, 'min_samples_split': 34}. Best is trial 10 with value: 0.35335164223024307.
[I 2025-11-27 04:48:48,641] Trial 13 finished with value: 0.3436706121070258 and parameters: {'max_depth': 12, 'min_samples_split': 28}. Best is trial 10 with value: 0.35335164223024307.
[I 2025-11-27 04:48:48,941] Trial 14 finished with value: 0.34722781741440284 and parameters: {'max_depth': 2, 'min_samples_split': 42}. Best is trial 10 with value: 0.35335164223024307.
[I 2025-11-27 04:48:49,853] Trial 15 finished with value: 0.3487635160952975 and parameters: {'max_depth': 8, 'min_samples_split': 37}. Best is trial 10 with value: 0.35335164223024307.
[I 2025-11-27 04:48:51,073] Trial 16 finished with value: 0.34137722433270856 and parameters: {'max_depth': 15, 'min_samples_split': 25}. Best is trial 10 with value: 0.35335164223024307.
[I 2025-11-27 04:48:51,812] Trial 17 finished with value: 0.3506322180930025 and parameters: {'max_depth': 6, 'min_samples_split': 3}. Best is trial 10 with value: 0.35335164223024307.
[I 2025-11-27 04:48:52,997] Trial 18 finished with value: 0.3463451911188708 and parameters: {'max_depth': 14, 'min_samples_split': 50}. Best is trial 10 with value: 0.35335164223024307.
[I 2025-11-27 04:48:53,633] Trial 19 finished with value: 0.35319466215016576 and parameters: {'max_depth': 5, 'min_samples_split': 42}. Best is trial 10 with value: 0.35335164223024307.
[I 2025-11-27 04:48:54,899] Trial 20 finished with value: 0.3426477603648642 and parameters: {'max_depth': 19, 'min_samples_split': 31}. Best is trial 10 with value: 0.35335164223024307.
[I 2025-11-27 04:48:55,533] Trial 21 finished with value: 0.3537702127629191 and parameters: {'max_depth': 5, 'min_samples_split': 42}. Best is trial 21 with value: 0.3537702127629191.
[I 2025-11-27 04:48:56,517] Trial 22 finished with value: 0.3503708999728778 and parameters: {'max_depth': 9, 'min_samples_split': 39}. Best is trial 21 with value: 0.3537702127629191.
[I 2025-11-27 04:48:57,047] Trial 23 finished with value: 0.3533404960255949 and parameters: {'max_depth': 4, 'min_samples_split': 45}. Best is trial 21 with value: 0.3537702127629191.
[I 2025-11-27 04:48:58,153] Trial 24 finished with value: 0.34526915848258893 and parameters: {'max_depth': 11, 'min_samples_split': 34}. Best is trial 21 with value: 0.3537702127629191.
[I 2025-11-27 04:48:58,982] Trial 25 finished with value: 0.35226707596270435 and parameters: {'max_depth': 7, 'min_samples_split': 46}. Best is trial 21 with value: 0.3537702127629191.
