"ENTREZID" "SYMBOL"
"430" "51422" "PRKAG2"
"431" "6330" "SCN4B"
"432" "6331" "SCN5A"
"433" "4040" "LRP6"
"434" "23209" "MLC1"
"435" "8997" "KALRN"
"436" "84159" "ARID5B"
"437" "4205" "MEF2A"
"438" "4282" "MIF"
"439" "7369" "UMOD"
"440" "115352" "FCRL3"
"441" "3569" "IL6"
"442" "4277" "MICB"
"443" "4148" "MATN3"
"444" "3663" "IRF5"
"445" "6775" "STAT4"
"446" "54829" "ASPN"
"447" "56172" "ANKH"
"448" "4049" "LTA"
"449" "8200" "GDF5"
"450" "23569" "PADI4"
"451" "2487" "FRZB"
"452" "56606" "SLC2A9"
"453" "3309" "HSPA5"
"454" "4795" "NFKBIL1"
"455" "7124" "TNF"
"456" "6583" "SLC22A4"
"457" "100507436" "MICA"
"458" "94103" "ORMDL3"
"459" "30009" "TBX21"
"460" "80332" "ADAM33"
"461" "4589" "MUC7"
"462" "57628" "DPP10"
"463" "7941" "PLA2G7"
"464" "5173" "PDYN"
"465" "56652" "TWNK"
"466" "747" "DAGLA"
"467" "8622" "PDE8B"
"468" "56997" "COQ8A"
"469" "23345" "SYNE1"
"470" "5521" "PPP2R2B"
"471" "3736" "KCNA1"
"472" "6908" "TBP"
"473" "85300" "ATCAY"
"474" "5582" "PRKCG"
"475" "4287" "ATXN3"
"476" "146057" "TTBK2"
"477" "472" "ATM"
"478" "10939" "AFG3L2"
"479" "146227" "BEAN1"
"480" "2259" "FGF14"
"481" "3748" "KCNC3"
"482" "255928" "SYT14"
"483" "785" "CACNB4"
"484" "10528" "NOP56"
"485" "3708" "ITPR1"
"486" "773" "CACNA1A"
"487" "6712" "SPTBN2"
"488" "9640" "ZNF592"
"489" "55129" "ANO10"
"490" "5428" "POLG"
"491" "343641" "TGM6"
"492" "5080" "PAX6"
"493" "6507" "SLC1A3"
"494" "6310" "ATXN1"
"495" "55775" "TDP1"
"496" "6314" "ATXN7"
"497" "25814" "ATXN10"
"498" "10558" "SPTLC1"
"499" "1145" "CHRNE"
"500" "147409" "DSG4"
"501" "1786" "DNMT1"
"502" "5078" "PAX4"
"503" "100133941" "CD24"
"504" "6927" "HNF1A"
"505" "5133" "PDCD1"
"506" "10125" "RASGRP1"
"507" "4803" "NGF"
"508" "1773" "DNASE1"
"509" "356" "FASLG"
"510" "26191" "PTPN22"
"511" "5376" "PMP22"
"512" "2743" "GLRB"
"513" "3559" "IL2RA"
"514" "2741" "GLRA1"
"515" "83737" "ITCH"
"516" "55315" "SLC29A3"
"517" "326" "AIRE"
"518" "547" "KIF1A"
"519" "65125" "WNK1"
"520" "5788" "PTPRC"
"521" "51062" "ATL1"
"522" "1234" "CCR5"
"523" "2213" "FCGR2B"
"524" "7292" "TNFSF4"
"525" "346171" "ZFP57"
"526" "720" "C4A"
"527" "8518" "ELP1"
"528" "1134" "CHRNA1"
"529" "7100" "TLR5"
"530" "355" "FAS"
"531" "10019" "SH2B3"
"532" "11277" "TREX1"
"533" "64135" "IFIH1"
"534" "3702" "ITK"
"535" "3172" "HNF4A"
"536" "1285" "COL4A3"
"537" "843" "CASP10"
"538" "841" "CASP8"
"539" "7253" "TSHR"
"540" "100293534" "C4B_2"
"541" "3684" "ITGAM"
"542" "3575" "IL7R"
"543" "9517" "SPTLC2"
"544" "1493" "CTLA4"
"545" "3630" "INS"
"546" "721" "C4B"
"547" "55024" "BANK1"
"548" "54414" "SIAE"
"549" "1380" "CR2"
"550" "4914" "NTRK1"
"551" "55851" "PSENEN"
"552" "23385" "NCSTN"
"553" "64581" "CLEC7A"
"554" "23765" "IL17RA"
"555" "112744" "IL17F"
"556" "64170" "CARD9"
"557" "55737" "VPS35"
"558" "7345" "UCHL1"
"559" "23400" "ATP13A2"
"560" "3064" "HTT"
"561" "23636" "NUP62"
"562" "6622" "SNCA"
"563" "11315" "PARK7"
"564" "1981" "EIF4G1"
"565" "540" "ATP7B"
"566" "7054" "TH"
"567" "26058" "GIGYF2"
"568" "80025" "PANK2"
"569" "8398" "PLA2G6"
"570" "1861" "TOR1A"
"571" "83943" "IMMP2L"
"572" "80704" "SLC19A3"
"573" "27429" "HTRA2"
"574" "120892" "LRRK2"
"575" "25793" "FBXO7"
"576" "114798" "SLITRK1"
"577" "4137" "MAPT"
"578" "65018" "PINK1"
"579" "55145" "THAP1"
"580" "2512" "FTL"
"581" "80862" "ZNRD1ASP"
"582" "285834" "HCG22"
"583" "116935" "RPL3P2"
"584" "6148" "RPL23AP1"
"585" "10255" "HCG9"
"586" "4340" "MOG"
"587" "4280" "MICE"
"588" "3595" "IL12RB2"
"589" "353007" "LOC353007"
"590" "3106" "HLA-B"
"591" "3107" "HLA-C"
"592" "100130889" "PSORS1C3"
"593" "340198" "IFITM4P"
"594" "29113" "C6orf15"
"595" "267016" "HLA-X"
"596" "253018" "HCG27"
"597" "352961" "HCG26"
"598" "3586" "IL10"
"599" "285829" "SUMO2P1"
"600" "387122" "WASF5P"
"601" "170679" "PSORS1C1"
"602" "3135" "HLA-G"
"603" "353010" "LOC353010"
"605" "8870" "IER3"
"606" "780" "DDR1"
"607" "170680" "PSORS1C2"
"608" "10866" "HCP5"
"609" "54535" "CCHCR1"
"610" "5244" "ABCB4"
"611" "3930" "LBR"
"612" "5205" "ATP8B1"
"613" "8647" "ABCB11"
"614" "3717" "JAK2"
"615" "11093" "ADAMTS13"
"616" "3674" "ITGA2B"
"617" "7454" "WAS"
"618" "7450" "VWF"
"619" "5627" "PROS1"
"620" "5624" "PROC"
"621" "90411" "MCFD2"
"622" "2155" "F7"
"623" "2157" "F8"
"624" "2153" "F5"
"625" "2244" "FGB"
"626" "1675" "CFD"
"627" "2266" "FGG"
"628" "2159" "F10"
"629" "2815" "GP9"
"630" "2812" "GP1BB"
"631" "3998" "LMAN1"
"632" "462" "SERPINC1"
"633" "2158" "F9"
"634" "948" "CD36"
"635" "7066" "THPO"
"636" "2147" "F2"
"637" "3690" "ITGB3"
"638" "2677" "GGCX"
"639" "2165" "F13B"
"640" "2243" "FGA"
"641" "2161" "F12"
"642" "2160" "F11"
"643" "2162" "F13A1"
"644" "23218" "NBEAL2"
"645" "84930" "MASTL"
"646" "54205" "CYCS"
"647" "959" "CD40LG"
"648" "958" "CD40"
"649" "974" "CD79B"
"650" "973" "CD79A"
"651" "695" "BTK"
"652" "3662" "IRF4"
"653" "7374" "UNG"
"654" "56262" "LRRC8A"
"655" "83417" "FCRL4"
"656" "7468" "NSD2"
"657" "4094" "MAF"
"658" "595" "CCND1"
"659" "4598" "MVK"
"660" "3543" "IGLL1"
"661" "29760" "BLNK"
"662" "57379" "AICDA"
"663" "8431" "NR0B2"
"664" "4160" "MC4R"
"665" "5443" "POMC"
"666" "3952" "LEP"
"667" "181" "AGRP"
"668" "7352" "UCP3"
"669" "5468" "PPARG"
"670" "5176" "SERPINF1"
"671" "760" "CA2"
"672" "8022" "LHX3"
"673" "23592" "LEMD3"
"674" "5745" "PTH1R"
"675" "7227" "TRPS1"
"676" "60681" "FKBP10"
"677" "8540" "AGPS"
"678" "5479" "PPIB"
"679" "7058" "THBS2"
"680" "1836" "SLC26A2"
"681" "4982" "TNFRSF11B"
"682" "3977" "LIFR"
"683" "28962" "OSTM1"
"684" "142680" "SLC34A3"
"685" "1311" "COMP"
"686" "121340" "SP7"
"687" "50964" "SOST"
"688" "3248" "HPGD"
"689" "7040" "TGFB1"
"690" "10682" "EBP"
"691" "10683" "DLL3"
"692" "3339" "HSPG2"
"693" "2260" "FGFR1"
"694" "6399" "TRAPPC2"
"695" "2316" "FLNA"
"696" "8878" "SQSTM1"
"697" "415" "ARSL"
"698" "4488" "MSX2"
"699" "8483" "CILP"
"700" "169792" "GLIS3"
"701" "120227" "CYP2R1"
"702" "8600" "TNFSF11"
"703" "1482" "NKX2-5"
"704" "6452" "SH3BP2"
"705" "8443" "GNPAT"
"706" "7038" "TG"
"707" "5251" "PHEX"
"708" "4041" "LRP5"
"709" "1513" "CTSK"
"710" "2263" "FGFR2"
"711" "64175" "P3H1"
"712" "9469" "CHST3"
"713" "9842" "PLEKHM1"
"714" "4758" "NEU1"
"715" "2254" "FGF9"
"716" "6777" "STAT5B"
"717" "7421" "VDR"
"718" "50506" "DUOX2"
"719" "1299" "COL9A3"
"720" "9241" "NOG"
"721" "9533" "POLR1C"
"722" "8820" "HESX1"
"723" "9401" "RECQL4"
"724" "2688" "GH1"
"725" "405753" "DUOXA2"
"726" "7291" "TWIST1"
"727" "10312" "TCIRG1"
"728" "84572" "GNPTG"
"729" "9451" "EIF2AK3"
"730" "1594" "CYP27B1"
"731" "6528" "SLC5A5"
"732" "7080" "NKX2-1"
"733" "59341" "TRPV4"
"734" "1186" "CLCN7"
"735" "860" "RUNX2"
"736" "1184" "CLCN5"
"737" "2697" "GJA1"
"738" "2693" "GHSR"
"739" "2692" "GHRHR"
"740" "10491" "CRTAP"
"741" "2690" "GHR"
"742" "139285" "AMER1"
"743" "8074" "FGF23"
"744" "64327" "LMBR1"
"745" "6949" "TCOF1"
"746" "2132" "EXT2"
"747" "5352" "PLOD2"
"748" "2131" "EXT1"
"749" "3239" "HOXD13"
"750" "5191" "PEX7"
"751" "871" "SERPINH1"
"752" "1298" "COL9A2"
"753" "4591" "TRIM37"
"754" "51082" "POLR1D"
"755" "8675" "STX16"
"756" "1758" "DMP1"
"757" "7474" "WNT5A"
"758" "1297" "COL9A1"
"759" "1278" "COL1A2"
"760" "4313" "MMP2"
"761" "5167" "ENPP1"
